customer_offer_id,customer_offer,customer_offer_description,customer_id,offer_expiry_date,max_usage,status
67,47,Right-sized systematic Graphical User Interface,67,8/7/2019,8,No
68,18,Public-key zero defect policy,68,8/28/2019,3,No
69,37,Realigned disintermediate help-desk,69,7/5/2019,6,No
70,30,Cross-group motivating portal,70,5/27/2019,6,No
71,57,Seamless tertiary approach,71,6/27/2019,8,No
72,72,De-engineered explicit internet solution,72,9/26/2019,7,No
73,17,Re-contextualized national application,73,8/22/2019,1,Yes
74,46,Balanced logistical utilisation,74,6/27/2019,2,No
75,24,Visionary tangible budgetary management,75,9/12/2019,8,Yes
76,14,Phased multi-state product,76,7/23/2019,3,No
77,53,Centralized national extranet,77,8/27/2019,8,No
78,46,Operative clear-thinking strategy,78,5/22/2019,5,Yes
79,27,Programmable client-server website,79,8/29/2019,8,No
80,6,Versatile solution-oriented function,80,8/14/2019,5,No
81,42,Versatile bandwidth-monitored software,81,9/24/2019,3,No
82,23,Down-sized radical Graphic Interface,82,6/22/2019,4,Yes
83,51,Upgradable impactful model,83,7/17/2019,8,No
84,44,Profound content-based model,84,5/3/2019,7,No
85,40,Secured multi-tasking intranet,85,6/14/2019,5,Yes
86,37,Integrated scalable help-desk,86,6/1/2019,1,Yes
87,29,Face to face 5th generation data-warehouse,87,9/16/2019,3,Yes
88,63,Assimilated maximized installation,88,7/12/2019,8,Yes
89,27,De-engineered incremental info-mediaries,89,8/12/2019,3,No
90,8,Synergized actuating utilisation,90,8/14/2019,4,No
91,15,Assimilated mission-critical benchmark,91,5/24/2019,5,No
92,1,Managed analyzing process improvement,92,7/13/2019,8,Yes
93,7,Profit-focused human-resource complexity,93,6/28/2019,1,No
94,24,Fundamental multi-state strategy,94,7/19/2019,8,Yes
95,46,Multi-layered value-added application,95,9/1/2019,10,No
96,45,Compatible holistic core,96,5/10/2019,8,No
97,63,Persistent bottom-line synergy,97,8/8/2019,9,Yes
98,23,Reduced asymmetric architecture,98,9/24/2019,5,No
99,41,Front-line contextually-based paradigm,99,6/7/2019,8,Yes
100,80,Synchronised holistic forecast,100,8/23/2019,5,Yes
101,25,Reduced intermediate info-mediaries,101,7/26/2019,8,No
102,44,Decentralized client-driven knowledge base,102,8/7/2019,8,Yes
103,51,Robust cohesive protocol,103,7/23/2019,3,No
104,42,Operative maximized focus group,104,6/9/2019,2,No
105,35,Focused demand-driven portal,105,9/23/2019,9,Yes
106,15,Multi-tiered asymmetric hardware,106,5/19/2019,2,Yes
107,48,Digitized multi-tasking matrix,107,9/25/2019,9,No
108,62,Networked modular policy,108,9/25/2019,7,No
109,57,Persevering methodical intranet,109,7/26/2019,7,Yes
110,54,Vision-oriented interactive encryption,110,5/10/2019,4,Yes
111,14,Automated responsive workforce,111,8/7/2019,7,Yes
112,44,Extended uniform encoding,112,6/28/2019,1,Yes
113,41,Fully-configurable local artificial intelligence,113,8/6/2019,1,Yes
114,80,Fully-configurable bottom-line intranet,114,8/21/2019,3,Yes
115,35,Public-key dedicated solution,115,7/29/2019,8,No
116,33,Universal motivating superstructure,116,7/12/2019,8,Yes
117,39,User-friendly client-server functionalities,117,6/25/2019,2,Yes
118,62,Multi-channelled hybrid system engine,118,5/31/2019,1,No
119,42,Multi-tiered non-volatile projection,119,5/12/2019,8,Yes
120,59,User-centric system-worthy circuit,120,8/4/2019,9,Yes
121,18,User-centric bifurcated functionalities,121,5/27/2019,4,Yes
122,5,Persistent systemic array,122,8/17/2019,7,No
123,40,Balanced dedicated capability,123,5/13/2019,8,No
124,64,Vision-oriented clear-thinking initiative,124,5/2/2019,4,Yes
125,66,Ameliorated attitude-oriented Graphical User Interface,125,8/16/2019,2,No
126,35,Down-sized tertiary Graphical User Interface,126,5/31/2019,8,No
127,68,Reduced clear-thinking flexibility,127,8/16/2019,8,Yes
128,10,Open-architected radical circuit,128,5/8/2019,3,Yes
129,62,User-friendly 24/7 firmware,129,8/5/2019,6,No
130,52,Exclusive radical pricing structure,130,9/3/2019,6,Yes
131,8,Enhanced bottom-line definition,131,8/20/2019,3,Yes
132,71,Future-proofed scalable concept,132,6/6/2019,8,No
133,11,User-centric bottom-line database,133,6/4/2019,1,Yes
134,18,Streamlined bifurcated extranet,134,7/5/2019,3,No
135,38,Virtual maximized initiative,135,8/29/2019,5,No
136,39,Persevering foreground parallelism,136,8/30/2019,6,No
137,6,Open-architected cohesive groupware,137,6/3/2019,5,Yes
138,31,Seamless next generation productivity,138,6/23/2019,9,Yes
139,57,Profound directional analyzer,139,8/16/2019,8,Yes
140,63,Seamless analyzing Graphic Interface,140,7/11/2019,3,No
141,35,Intuitive responsive migration,141,9/27/2019,10,Yes
142,72,Robust solution-oriented moratorium,142,6/1/2019,3,No
143,46,Inverse dedicated superstructure,143,7/26/2019,7,Yes
144,31,Integrated 24 hour forecast,144,5/24/2019,7,No
145,37,Synergized bi-directional complexity,145,7/13/2019,1,Yes
146,80,Integrated full-range definition,146,7/4/2019,1,No
147,50,Monitored incremental capability,147,5/17/2019,5,Yes
148,2,Robust mobile collaboration,148,7/7/2019,5,No
149,48,Exclusive 6th generation analyzer,149,7/8/2019,10,Yes
150,42,Configurable client-driven internet solution,150,6/22/2019,7,No
151,40,Realigned executive flexibility,151,7/28/2019,8,Yes
152,1,Organized modular local area network,152,6/29/2019,1,Yes
153,64,Upgradable demand-driven ability,153,5/13/2019,9,No
154,7,Enhanced zero administration data-warehouse,154,5/11/2019,5,Yes
155,78,Up-sized mission-critical application,155,6/30/2019,1,Yes
156,71,Optimized radical help-desk,156,8/15/2019,5,No
157,64,Upgradable optimal middleware,157,5/31/2019,6,Yes
158,66,Organized multimedia utilisation,158,7/7/2019,7,Yes
159,70,Customer-focused fault-tolerant groupware,159,6/25/2019,8,No
160,20,Total full-range definition,160,9/7/2019,10,No
161,1,Cross-group motivating contingency,161,6/9/2019,6,No
162,52,Cloned bi-directional Graphical User Interface,162,6/21/2019,4,No
163,5,Extended user-facing function,163,8/5/2019,1,No
164,7,Total multi-state open system,164,6/29/2019,10,Yes
165,80,Up-sized systemic encoding,165,5/3/2019,4,Yes
166,38,Face to face 3rd generation core,166,7/16/2019,6,Yes
167,71,Robust cohesive challenge,167,5/30/2019,7,No
168,27,Ergonomic interactive migration,168,5/31/2019,7,No
169,72,Quality-focused intermediate middleware,169,5/23/2019,4,No
170,34,Reduced actuating protocol,170,9/28/2019,9,No
171,41,Operative multi-tasking local area network,171,8/17/2019,5,No
172,20,Phased interactive extranet,172,5/9/2019,8,Yes
173,79,Synchronised scalable open architecture,173,8/10/2019,2,Yes
174,61,Reactive reciprocal middleware,174,6/25/2019,8,No
175,33,Reactive dynamic initiative,175,7/23/2019,10,No
176,46,Adaptive regional forecast,176,5/12/2019,2,No
177,17,Programmable client-server orchestration,177,9/29/2019,4,Yes
178,70,Optional homogeneous methodology,178,6/26/2019,1,No
179,75,Exclusive bifurcated support,179,7/15/2019,4,Yes
180,55,Multi-channelled fresh-thinking attitude,180,8/30/2019,5,No
181,17,Organic content-based knowledge user,181,8/21/2019,2,Yes
182,60,Grass-roots logistical help-desk,182,8/4/2019,9,Yes
183,12,Integrated logistical archive,183,7/26/2019,10,Yes
184,43,Switchable impactful intranet,184,7/22/2019,10,Yes
185,3,Intuitive human-resource hardware,185,8/17/2019,8,No
186,72,Synergistic dynamic productivity,186,6/19/2019,8,Yes
187,5,Advanced upward-trending moratorium,187,8/4/2019,7,Yes
188,60,Switchable scalable time-frame,188,7/17/2019,2,Yes
189,40,User-friendly methodical database,189,7/19/2019,9,No
190,53,Synchronised system-worthy synergy,190,8/21/2019,1,Yes
191,1,Organic bandwidth-monitored hardware,191,8/1/2019,8,No
192,2,Team-oriented scalable functionalities,192,8/15/2019,4,Yes
193,78,Extended mission-critical software,193,6/5/2019,6,Yes
194,40,Customer-focused value-added implementation,194,5/19/2019,6,Yes
195,37,Secured tangible ability,195,5/27/2019,3,Yes
196,5,Integrated holistic attitude,196,6/19/2019,5,No
197,21,Multi-lateral multi-state function,197,7/5/2019,7,No
198,66,Reverse-engineered eco-centric website,198,9/1/2019,10,No
199,43,Function-based reciprocal parallelism,199,6/26/2019,10,Yes
200,56,Versatile zero administration archive,200,7/16/2019,6,Yes
201,34,Right-sized well-modulated workforce,201,9/20/2019,1,Yes
202,52,Virtual mission-critical time-frame,202,6/7/2019,3,Yes
203,7,Sharable fresh-thinking budgetary management,203,9/27/2019,8,Yes
204,79,Balanced coherent adapter,204,6/7/2019,4,No
205,1,Profound background standardization,205,9/15/2019,6,No
206,63,Enhanced solution-oriented attitude,206,7/30/2019,9,No
207,67,Distributed clear-thinking service-desk,207,7/10/2019,7,No
208,3,Polarised demand-driven intranet,208,5/2/2019,4,Yes
209,61,Multi-tiered non-volatile monitoring,209,8/18/2019,1,Yes
210,61,Integrated client-server alliance,210,8/26/2019,1,Yes
211,1,Monitored transitional utilisation,211,9/7/2019,8,Yes
212,24,Vision-oriented tangible data-warehouse,212,6/28/2019,6,No
213,71,Reduced hybrid protocol,213,6/30/2019,6,Yes
214,2,Cross-platform asynchronous infrastructure,214,6/15/2019,5,Yes
215,67,Implemented bottom-line toolset,215,7/27/2019,4,Yes
216,3,Automated demand-driven definition,216,8/24/2019,6,Yes
217,78,Reverse-engineered foreground pricing structure,217,8/25/2019,10,No
218,7,Sharable optimal encryption,218,8/23/2019,5,Yes
219,78,Intuitive foreground middleware,219,7/12/2019,1,Yes
220,78,Team-oriented content-based migration,220,6/7/2019,3,No
221,78,Exclusive actuating neural-net,221,5/4/2019,1,Yes
222,39,Implemented multi-state matrices,222,7/3/2019,10,Yes
223,8,Profound didactic Graphical User Interface,223,8/8/2019,10,Yes
224,76,Triple-buffered static system engine,224,6/28/2019,2,No
225,70,Upgradable mobile framework,225,9/22/2019,10,No
226,12,Future-proofed non-volatile emulation,226,6/10/2019,7,No
227,42,Team-oriented object-oriented approach,227,5/21/2019,8,No
228,10,Re-contextualized attitude-oriented alliance,228,6/17/2019,9,No
229,7,Public-key 5th generation moderator,229,6/13/2019,3,Yes
230,0,Versatile radical adapter,230,7/8/2019,7,No
231,45,Reduced actuating moderator,231,7/6/2019,9,Yes
232,54,Ergonomic directional throughput,232,7/29/2019,1,Yes
233,20,Reactive incremental encoding,233,6/20/2019,3,Yes
234,5,Business-focused tertiary paradigm,234,8/14/2019,10,Yes
235,40,Switchable mobile firmware,235,6/19/2019,6,No
236,22,Grass-roots executive customer loyalty,236,6/18/2019,7,No
237,60,Re-contextualized multimedia implementation,237,6/30/2019,4,Yes
238,77,Mandatory zero defect focus group,238,7/19/2019,3,No
239,57,Mandatory directional initiative,239,5/3/2019,1,Yes
240,68,Persevering bandwidth-monitored task-force,240,9/5/2019,10,Yes
241,9,Optimized logistical productivity,241,5/18/2019,4,No
242,42,Front-line object-oriented analyzer,242,8/15/2019,4,No
243,55,Persevering fault-tolerant website,243,9/9/2019,10,Yes
244,34,Decentralized demand-driven superstructure,244,5/18/2019,10,Yes
245,36,Reduced client-driven orchestration,245,9/24/2019,10,No
246,35,Cross-platform foreground infrastructure,246,5/6/2019,7,No
247,60,Automated upward-trending intranet,247,8/26/2019,8,Yes
248,24,Team-oriented background monitoring,248,9/14/2019,10,Yes
249,17,Total foreground website,249,6/9/2019,10,Yes
250,28,Visionary intermediate info-mediaries,250,9/24/2019,3,No
251,36,Total content-based paradigm,251,8/15/2019,10,Yes
252,75,Profit-focused local forecast,252,5/29/2019,8,No
253,29,Reverse-engineered dynamic installation,253,5/16/2019,10,Yes
254,28,Pre-emptive grid-enabled access,254,8/22/2019,4,Yes
255,22,Realigned optimal matrix,255,7/15/2019,1,Yes
256,35,Stand-alone asymmetric function,256,6/11/2019,10,Yes
257,73,User-friendly object-oriented intranet,257,8/9/2019,6,Yes
258,61,Extended grid-enabled structure,258,9/4/2019,4,Yes
259,48,Digitized multi-state installation,259,6/16/2019,8,No
260,16,Sharable holistic instruction set,260,6/4/2019,8,No
261,40,Robust background model,261,5/3/2019,9,Yes
262,28,Centralized disintermediate matrices,262,8/21/2019,3,No
263,75,Public-key needs-based synergy,263,9/8/2019,2,No
264,65,Re-contextualized stable orchestration,264,8/23/2019,3,No
265,51,Customer-focused optimizing hub,265,9/6/2019,9,Yes
266,20,Optional disintermediate pricing structure,266,8/2/2019,1,Yes
267,79,Re-contextualized didactic toolset,267,7/29/2019,8,No
268,76,Up-sized foreground hierarchy,268,7/4/2019,7,Yes
269,27,Assimilated upward-trending info-mediaries,269,9/18/2019,5,No
270,25,Ameliorated client-driven support,270,6/22/2019,8,Yes
271,7,User-centric clear-thinking workforce,271,8/15/2019,7,Yes
272,79,Enhanced web-enabled hardware,272,6/19/2019,4,No
273,15,Up-sized upward-trending architecture,273,9/7/2019,3,Yes
274,11,Adaptive exuding info-mediaries,274,5/23/2019,4,No
275,59,Decentralized neutral extranet,275,9/25/2019,10,No
276,53,Team-oriented high-level support,276,8/17/2019,4,No
277,23,Managed intermediate artificial intelligence,277,8/14/2019,8,No
278,14,Multi-tiered client-driven paradigm,278,7/12/2019,2,No
279,65,Profit-focused client-driven time-frame,279,5/23/2019,5,Yes
280,47,De-engineered fresh-thinking Graphic Interface,280,7/22/2019,9,No
281,78,Up-sized value-added installation,281,7/2/2019,1,Yes
282,15,Triple-buffered context-sensitive hierarchy,282,6/22/2019,8,No
283,61,Horizontal needs-based service-desk,283,5/26/2019,7,Yes
284,30,Up-sized value-added focus group,284,8/3/2019,3,Yes
285,65,Secured homogeneous open system,285,5/2/2019,8,Yes
286,56,Front-line coherent array,286,9/12/2019,5,No
287,7,Assimilated needs-based strategy,287,7/13/2019,9,Yes
288,54,Open-architected background parallelism,288,8/3/2019,9,Yes
289,9,Visionary mission-critical application,289,9/13/2019,8,No
290,66,Quality-focused grid-enabled policy,290,5/3/2019,4,Yes
291,64,Phased context-sensitive Graphic Interface,291,7/27/2019,8,No
292,57,Operative multimedia moratorium,292,7/31/2019,5,Yes
293,36,Front-line composite algorithm,293,8/24/2019,10,No
294,19,Proactive attitude-oriented time-frame,294,9/25/2019,1,No
295,63,Customer-focused global portal,295,7/17/2019,7,Yes
296,67,Function-based analyzing local area network,296,8/5/2019,4,No
297,53,Quality-focused 24 hour capability,297,6/11/2019,6,No
298,35,Cloned 5th generation archive,298,8/7/2019,2,No
299,32,Innovative background policy,299,7/14/2019,5,No
300,3,Decentralized systematic structure,300,9/2/2019,4,No
301,50,Persevering cohesive productivity,301,5/28/2019,1,No
302,36,Decentralized regional project,302,8/26/2019,4,Yes
303,6,Centralized solution-oriented matrices,303,8/6/2019,7,Yes
304,69,Function-based national model,304,6/3/2019,4,Yes
305,10,Cross-platform discrete methodology,305,7/1/2019,1,Yes
306,20,Multi-lateral intermediate solution,306,8/20/2019,10,Yes
307,43,Future-proofed attitude-oriented leverage,307,9/13/2019,1,No
308,43,Adaptive systemic methodology,308,7/8/2019,8,No
309,42,Vision-oriented local framework,309,7/13/2019,2,No
310,3,Multi-tiered fault-tolerant internet solution,310,9/12/2019,9,Yes
311,65,Diverse directional collaboration,311,7/23/2019,3,Yes
312,28,Up-sized asynchronous secured line,312,8/5/2019,5,Yes
313,14,Enterprise-wide grid-enabled paradigm,313,7/27/2019,8,No
314,40,Persistent directional customer loyalty,314,5/31/2019,6,No
315,39,Future-proofed impactful Graphical User Interface,315,5/7/2019,9,Yes
316,65,Optional 6th generation workforce,316,7/11/2019,4,No
317,65,Operative secondary groupware,317,6/11/2019,2,Yes
318,29,Extended multi-tasking concept,318,8/30/2019,4,No
319,44,Sharable regional info-mediaries,319,6/17/2019,5,No
320,62,Extended grid-enabled extranet,320,9/4/2019,2,Yes
321,54,Multi-tiered intangible access,321,5/6/2019,1,Yes
322,44,Proactive impactful standardization,322,6/9/2019,3,Yes
323,50,Team-oriented foreground matrices,323,9/16/2019,5,No
324,63,Optional secondary middleware,324,6/21/2019,8,No
325,0,Profit-focused needs-based encryption,325,6/8/2019,5,Yes
326,5,Business-focused upward-trending circuit,326,7/12/2019,8,No
327,36,Monitored object-oriented data-warehouse,327,6/7/2019,4,No
328,55,Re-contextualized non-volatile function,328,8/1/2019,10,Yes
329,0,Fundamental regional archive,329,6/3/2019,2,Yes
330,62,Mandatory object-oriented intranet,330,5/2/2019,3,Yes
331,35,Extended asynchronous product,331,8/29/2019,7,No
332,37,Enhanced tangible functionalities,332,9/20/2019,7,No
333,43,De-engineered disintermediate standardization,333,5/26/2019,2,Yes
334,20,Enterprise-wide client-server internet solution,334,6/17/2019,6,Yes
335,27,Customizable fresh-thinking contingency,335,6/8/2019,5,Yes
336,22,Enhanced regional software,336,8/22/2019,1,Yes
337,69,Proactive methodical workforce,337,6/8/2019,10,No
338,26,Exclusive value-added secured line,338,8/29/2019,7,No
339,69,Seamless encompassing internet solution,339,5/6/2019,1,No
340,62,Enterprise-wide global adapter,340,8/6/2019,7,Yes
341,31,Synergized context-sensitive workforce,341,8/28/2019,4,No
342,68,Public-key didactic framework,342,8/27/2019,10,No
343,71,Open-architected needs-based access,343,9/12/2019,7,Yes
344,42,Synchronised optimizing algorithm,344,6/14/2019,7,No
345,35,Cross-group incremental monitoring,345,6/11/2019,2,No
346,66,Vision-oriented stable leverage,346,8/25/2019,2,No
347,18,Innovative user-facing emulation,347,6/16/2019,4,No
348,25,Optional systematic matrices,348,6/13/2019,10,Yes
349,24,Reduced clear-thinking forecast,349,5/26/2019,6,Yes
350,66,Programmable global interface,350,5/21/2019,4,No
351,63,Distributed 24 hour process improvement,351,5/19/2019,1,No
352,54,Devolved scalable conglomeration,352,9/13/2019,7,No
353,36,Persevering user-facing methodology,353,8/28/2019,7,No
354,59,Versatile 5th generation structure,354,6/5/2019,5,Yes
355,48,Versatile stable contingency,355,7/8/2019,10,Yes
356,14,Down-sized scalable data-warehouse,356,9/25/2019,3,Yes
357,67,Proactive optimizing infrastructure,357,9/1/2019,6,Yes
358,38,Customizable methodical portal,358,9/20/2019,2,Yes
359,39,Versatile transitional archive,359,8/3/2019,9,Yes
360,63,Enterprise-wide object-oriented knowledge user,360,8/19/2019,6,No
361,59,Profit-focused fresh-thinking knowledge user,361,9/15/2019,10,No
362,29,Inverse eco-centric support,362,7/22/2019,9,Yes
363,40,Reactive discrete strategy,363,7/10/2019,3,No
364,65,User-centric executive challenge,364,5/11/2019,8,No
365,45,Seamless bandwidth-monitored matrix,365,9/3/2019,1,Yes
366,47,Right-sized fresh-thinking paradigm,366,8/8/2019,2,No
367,73,Realigned coherent time-frame,367,6/2/2019,9,No
368,64,Networked content-based array,368,9/29/2019,6,No
369,64,Phased high-level encoding,369,5/17/2019,9,Yes
370,60,Object-based exuding policy,370,6/7/2019,8,Yes
371,26,Inverse zero tolerance circuit,371,6/18/2019,9,No
372,8,Team-oriented optimizing open system,372,5/7/2019,5,No
373,44,User-friendly global strategy,373,6/13/2019,3,No
374,75,Networked 24/7 installation,374,9/28/2019,3,No
375,5,Reverse-engineered system-worthy process improvement,375,9/17/2019,2,No
376,33,Multi-lateral full-range functionalities,376,8/9/2019,6,Yes
377,21,Implemented discrete budgetary management,377,7/18/2019,9,Yes
378,22,Future-proofed discrete frame,378,5/26/2019,2,Yes
379,32,Sharable solution-oriented utilisation,379,6/7/2019,3,Yes
380,54,Fully-configurable interactive strategy,380,8/15/2019,3,Yes
381,33,Managed logistical instruction set,381,5/26/2019,5,No
382,44,Expanded eco-centric adapter,382,5/4/2019,10,Yes
383,30,Total zero administration functionalities,383,5/16/2019,2,No
384,15,Multi-lateral global interface,384,6/4/2019,8,No
385,68,Implemented fault-tolerant instruction set,385,8/2/2019,7,Yes
386,25,Balanced attitude-oriented moratorium,386,6/24/2019,6,Yes
387,75,Profound impactful analyzer,387,7/16/2019,3,Yes
388,70,Open-architected transitional artificial intelligence,388,9/15/2019,6,No
389,54,Sharable national approach,389,5/24/2019,8,No
390,30,Robust secondary superstructure,390,8/17/2019,4,No
391,23,Open-architected 3rd generation orchestration,391,6/11/2019,3,No
392,76,Operative zero defect moratorium,392,7/27/2019,9,Yes
393,18,Public-key local info-mediaries,393,6/24/2019,9,No
394,38,Reduced asymmetric help-desk,394,7/29/2019,3,Yes
395,64,Up-sized bottom-line initiative,395,5/29/2019,4,No
396,36,Re-engineered coherent success,396,5/17/2019,1,No
397,0,Seamless multi-state complexity,397,7/20/2019,8,No
398,57,Polarised bottom-line implementation,398,6/9/2019,7,Yes
399,41,Optional homogeneous strategy,399,6/10/2019,7,No
400,38,Expanded didactic core,400,9/27/2019,4,No
401,51,Multi-lateral analyzing application,401,7/28/2019,9,Yes
402,38,Pre-emptive object-oriented portal,402,7/18/2019,10,No
403,4,Secured impactful help-desk,403,6/9/2019,10,Yes
404,39,Multi-tiered human-resource info-mediaries,404,8/18/2019,7,Yes
405,71,Devolved foreground strategy,405,5/5/2019,4,No
406,80,Seamless impactful superstructure,406,5/4/2019,2,Yes
407,20,Profit-focused maximized circuit,407,9/17/2019,1,Yes
408,4,Open-architected responsive task-force,408,9/3/2019,6,No
409,38,Cross-group even-keeled installation,409,5/29/2019,5,No
410,19,Intuitive user-facing open architecture,410,5/2/2019,8,No
411,53,Multi-lateral scalable artificial intelligence,411,9/11/2019,7,No
412,14,Proactive exuding Graphic Interface,412,8/3/2019,9,No
413,44,Adaptive next generation success,413,8/2/2019,8,Yes
414,1,Persevering fault-tolerant algorithm,414,6/25/2019,2,No
415,30,Visionary clear-thinking ability,415,8/6/2019,4,Yes
416,70,Polarised contextually-based solution,416,8/10/2019,6,Yes
417,33,Cross-group 24/7 workforce,417,6/17/2019,9,Yes
418,56,Configurable composite data-warehouse,418,5/24/2019,8,No
419,14,Advanced asymmetric matrix,419,5/18/2019,4,No
420,65,Diverse bottom-line complexity,420,7/1/2019,3,Yes
421,19,Persevering scalable circuit,421,7/25/2019,6,No
422,59,Re-engineered eco-centric emulation,422,8/13/2019,2,No
423,34,Synergized maximized artificial intelligence,423,8/15/2019,4,Yes
424,1,Implemented fresh-thinking circuit,424,7/15/2019,10,Yes
425,3,Monitored next generation algorithm,425,9/23/2019,9,No
426,63,Multi-channelled national secured line,426,6/30/2019,8,No
427,50,Streamlined fault-tolerant Graphical User Interface,427,7/25/2019,4,No
428,34,Focused incremental throughput,428,9/8/2019,1,No
429,28,Secured zero administration paradigm,429,6/22/2019,3,Yes
430,58,Focused eco-centric benchmark,430,7/4/2019,4,Yes
431,62,Up-sized discrete support,431,6/10/2019,6,Yes
432,28,Devolved dedicated firmware,432,8/27/2019,2,Yes
433,74,Synergistic content-based model,433,7/31/2019,2,Yes
434,20,Business-focused context-sensitive interface,434,5/21/2019,10,No
435,73,Right-sized 5th generation capability,435,6/17/2019,3,No
436,10,Adaptive directional interface,436,8/24/2019,2,Yes
437,50,Profound client-server orchestration,437,5/6/2019,10,Yes
438,44,Secured even-keeled structure,438,8/24/2019,3,No
439,20,Grass-roots holistic collaboration,439,8/1/2019,10,No
440,53,Virtual zero tolerance hardware,440,8/11/2019,6,No
441,60,Compatible solution-oriented algorithm,441,8/22/2019,3,Yes
442,76,Secured static secured line,442,9/2/2019,6,Yes
443,63,Programmable intangible project,443,7/28/2019,4,No
444,16,Re-engineered grid-enabled pricing structure,444,6/13/2019,4,Yes
445,66,Future-proofed directional implementation,445,5/26/2019,4,Yes
446,44,Persistent 24/7 core,446,5/7/2019,3,No
447,76,User-centric optimal structure,447,8/23/2019,9,Yes
448,54,Devolved web-enabled adapter,448,8/31/2019,4,Yes
449,44,Public-key 3rd generation monitoring,449,9/18/2019,6,Yes
450,21,Multi-lateral value-added instruction set,450,8/17/2019,8,Yes
451,39,Expanded national encryption,451,5/4/2019,9,No
452,17,Enhanced object-oriented support,452,8/16/2019,6,Yes
